Выборы Президента Российской Федерации,,
Дата голосования: 18.03.2018,,
,,
Наименование Избирательной комиссии:    Магаданская область,,
,,
Итоги голосования,,
,,
,Число территориальных избирательных комиссий,10
,"Число территориальных избирательных комиссий, приступивших к передаче сведений",10
,,
,,
,,
,,
Дата и время подписания протокола 20.03.2018 20:09:00,,
,,
,,
1,"Число избирателей, включенных в список избирателей",102626
2,"Число избирательных бюллетеней, полученных участковой избирательной комиссией",107633
3,"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно",2417
4,"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования",68365
5,"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования",3018
6,Число погашенных избирательных бюллетеней,33833
7,Число избирательных бюллетеней в переносных ящиках для голосования,5434
8,Число бюллетеней в стационарных ящиках для голосования,68345
9,Число недействительных избирательных бюллетеней,1108
10,Число действительных избирательных бюллетеней,72671
11,Число утраченных избирательных бюллетеней,0
12,"Число избирательных бюллетеней, не учтенных при получении",0
,,
13,Бабурин Сергей Николаевич,417
,,0.57%
14,Грудинин Павел Николаевич,10364
,,14.05%
15,Жириновский Владимир Вольфович,6185
,,8.38%
16,Путин Владимир Владимирович,53341
,,72.30%
17,Собчак Ксения Анатольевна,1007
,,1.36%
18,Сурайкин Максим Александрович,408
,,0.55%
19,Титов Борис Юрьевич,458
,,0.62%
20,Явлинский Григорий Алексеевич,491
,,0.67%
